code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002139,拓邦股份,-0.06,,,,0.24,-234.98,,,06-28
002138,顺络电子,0.14,,,,0.2,982.81,,,06-12
002137,麦达数字,0.09,,,,0.02,941.93,,,06-12
002136,安纳达,0.08,,,,,485.68,,,05-29
002135,东南网架,0.12,,,,-0.44,1764.43,,,05-29
002134,天津普林,0.07,,,,0.13,1078.6,,,05-15
601988,中国银行,,,,16.66,-0.14,989800.0,,,04-30
002125,湘潭电化,0.04,,,,,184.61,,,04-28
002114,罗平锌电,0.19,,,,,1420.51,,,04-28
601007,金陵饭店,0.02,,,,,444.57,,,04-28
002116,中国海诚,0.09,,,,,778.26,,,04-27
002126,银轮股份,0.03,,,,,219.94,,,04-27
002130,沃尔核材,0.16,,,,,636.04,,,04-27
002129,中环股份,0.07,,,,,1755.87,,,04-27
002133,广宇集团,0.26,,,,-0.48,4827.97,,,04-26
002132,恒星科技,0.02,,,,-0.27,312.16,,,04-26
002115,三维通信,0.14,,,,,808.89,,,04-26
002131,利欧股份,0.19,,,,0.51,1046.56,,,04-26
000338,潍柴动力,0.33,,,,-0.05,10794.84,,,04-26
002110,三钢闽光,0.1,,,,,4386.9,,,04-25
002117,东港股份,0.14,,,,,1138.79,,,04-24
002122,天马股份,0.33,,,,,3374.86,,,04-24
002105,信隆健康,0.06,,,,,1161.55,,,04-24
002124,天邦股份,-0.15,,,,,-773.48,,,04-24
002118,紫鑫药业,0.04,,,,,225.25,,,04-24
002112,三变科技,0.09,,,,,559.38,,,04-23
002106,莱宝高科,0.35,,,,,4212.67,,,04-21
002103,广博股份,0.16,,,,,1142.38,,,04-21
002119,康强电子,0.08,,,,,555.14,,,04-21
002108,沧州明珠,0.03,,,,,127.27,,,04-20
601003,柳钢股份,-0.1,,,,,-6047.52,,,04-20
002107,沃华医药,0.17,,,,,877.88,,,04-20
002113,天润数娱,0.08,,,,,401.13,,,04-19
002111,威海广泰,0.18,,,,,760.33,,,04-18
002121,科陆电子,-0.07,,,,,-307.39,,,04-18
002104,恒宝股份,0.07,,,,,619.37,,,04-18
002128,露天煤业,0.2,,,,0.04,11422.6,,,04-17
002127,南极电商,0.12,,,,0.32,466.19,,,04-17
002120,韵达股份,0.08,,,,,398.57,,,04-17
601168,西部矿业,0.79,,,,,25330.74,,,04-16
002123,梦网荣信,0.08,,,,,375.48,,,04-14
002109,兴化股份,0.19,,,,,2298.17,,,04-13
002081,金螳螂,,,2.37,9.93,-1.2,1570.54,,,10-25
600018,上港集团,,,1.06,,0.04,57514.88,,,09-22
600800,天津磁卡,,,0.99,,,2726.25,-42.7,,08-31
000921,海信科龙,,,-1.18,,,-8252.35,-236.42,,08-29
002059,云南旅游,,,2.12,0.42,0.04,141.7,,,07-11
000413,东旭光电,,,0.62,,,-2917.23,-2643.73,,06-30
000732,泰禾集团,,,-3.81,,,-660.76,-265.01,,06-12
000592,平潭发展,,,-1.49,,,-417.73,3.86,,05-31
000688,建新矿业,,,-2.44,,,-2235.57,-32.1,,05-26
600196,复星医药,,,2.95,,,6089.88,2.45,,04-29
601607,上海医药,,,3.76,,,2518.16,-20.93,,04-29
000033,*ST新都,,,1.34,,,77.66,80.42,,04-29
600643,爱建集团,,,1.1,,,352.0,-76.7,,04-29
000056,皇庭国际,,,0.87,,,-462.57,-550.08,,04-29
600681,百川能源,,,-2.57,,,-2591.42,506.18,,04-29
000403,ST生化,,,-0.21,,,-2103.8,152.42,,04-29
000423,东阿阿胶,,,2.56,,,3012.56,1.24,,04-29
600715,文投控股,,,-0.15,,,-511.84,-1.93,,04-29
600345,长江通信,,,4.73,,,455.55,2.61,,04-29
600747,大连控股,,,1.54,,,970.78,8.1,,04-29
000999,华润三九,,,2.32,,,3525.53,-29.75,,04-29
600818,中路股份,,,1.0,,,760.92,-37.09,,04-29
600835,上海机电,,,4.03,,,6222.65,-14.76,,04-29
600139,西部资源,,,0.7,,,-268.53,203.58,,04-29
600555,海航创新,,,3.9,,,2158.99,141.12,,04-29
600963,岳阳林纸,,,3.94,,,952.74,-42.27,,04-29
000783,长江证券,,,0.47,,,-35544.59,284.94,,04-29
000038,深大通,,,0.78,,,-237.89,-5394.89,,04-29
000852,石化机械,,,2.71,,,3123.42,-1.4,,04-29
600257,大湖股份,,,2.4,,,671.18,5.51,,04-29
000062,深圳华强,,,4.55,,,1014.64,4.64,,04-29
000882,华联股份,,,1.95,,,888.4,7591.77,,04-29
000517,荣安地产,,,-0.58,,,-1795.03,-2392.44,,04-29
000554,泰山石油,,,1.76,,,1626.43,23.46,,04-29
002003,伟星股份,,,3.48,,,504.52,33.89,,04-29
600408,安泰集团,,,2.46,,,-2333.31,-128.41,,04-29
600433,冠豪高新,,,2.57,,,219.09,-29.93,,04-29
600075,新疆天业,,,6.05,,,3677.26,30.14,,04-29
600093,禾嘉股份,,,1.26,,,59.02,-38.07,,04-29
000668,荣丰控股,,,2.74,,,722.11,-50.53,,04-29
600166,福田汽车,,,2.95,,,-10248.39,-393.77,,04-29
000027,深圳能源,,,3.84,,,15337.49,8.68,,04-29
600242,中昌数据,,,-1.55,,,-560.5,-74.34,,04-29
600637,东方明珠,,,4.05,,,525.64,-47.86,,04-29
000927,一汽夏利,,,1.91,,,8915.13,-378.07,,04-29
600776,东方通信,,,3.37,,,598.23,-14.83,,04-29
002024,苏宁云商,,,3.59,,,3476.25,121.03,,04-29
600811,东方集团,,,4.14,,,2094.04,10.58,,04-29
000625,长安汽车,,,4.28,,,20453.68,1.46,,04-29
600828,茂业商业,,,0.87,,,311.37,140.92,,04-29
000693,ST华泽,,,1.03,,,-3092.71,30.71,,04-29
600527,江南高纤,,,2.06,,,716.52,5.3,,04-29
600153,建发股份,,,4.35,,,7750.73,38.67,,04-29
600171,上海贝岭,,,2.89,,,842.27,-46.78,,04-29
600189,吉林森工,,,4.38,,,1416.8,-27.99,,04-29
600195,中牧股份,,,2.39,,,3010.14,14.42,,04-29
600588,用友网络,,,7.24,,,4674.96,120.18,,04-29
600661,新南洋,,,2.17,,,188.78,12.49,,04-29
600287,江苏舜天,,,1.94,,,1545.91,-42.51,,04-29
600343,航天动力,,,2.31,,,592.21,47.79,,04-29
000529,广弘控股,,,-1.26,,,-2907.62,-23.97,,04-29
000566,海南海药,,,1.06,,,679.02,4.82,,04-29
600052,浙江广厦,,,2.86,,,-3452.13,19.19,,04-29
600988,赤峰黄金,,,1.38,,,-744.91,162.74,,04-29
000409,山东地矿,,,0.68,,,-219.57,-28.33,,04-29
600751,天海投资,,,0.21,,,549.45,-8.35,,04-29
600007,中国国贸,,,3.24,,,6036.2,4.55,,04-29
002002,鸿达兴业,,,3.46,,,323.17,-18.04,,04-29
600057,象屿股份,,,1.44,,,520.29,56.22,,04-29
600432,*ST吉恩,,,4.01,,,4120.68,5.77,,04-29
600599,熊猫金控,,,1.51,,,12.58,-107.08,,04-29
600225,*ST松江,,,0.51,,,188.18,207.24,,04-29
600653,申华控股,,,0.9,,,-1984.66,26.48,,04-29
000158,常山股份,,,3.55,,,748.43,39.3,,04-29
600356,恒丰纸业,,,5.1,,,1542.42,-33.66,,04-29
000012,南玻A,,,2.49,,,4909.38,-8.71,,04-29
600248,延长化建,,,0.78,,,-1144.95,403.08,,04-29
600268,国电南自,,,4.76,,,621.23,1.03,,04-29
600156,华升股份,,,1.44,,,416.72,41.78,,04-29
000010,美丽生态,,,0.4,,,-39.5,-94.31,,04-29
000863,三湘印象,,,-2.38,,,-1882.87,-0.85,,04-29
600338,西藏珠峰,,,-0.32,,,-726.77,-26.92,,04-29
000973,佛塑科技,,,3.49,,,116.41,-91.14,,04-29
600360,华微电子,,,3.25,,,2147.56,15.09,,04-29
600743,华远地产,,,0.01,,,18.01,211.31,,04-29
002010,传化智联,,,3.66,,,1223.15,22.26,,04-29
600039,四川路桥,,,3.07,,,112.75,-109.31,,04-29
600830,香溢融通,,,2.02,,,571.75,62.71,,04-29
000656,金科股份,,,1.84,,,-201.77,178.67,,04-29
600499,科达洁能,,,4.68,,,1018.29,-16.18,,04-29
600179,安通控股,,,2.65,,,352.52,0.65,,04-29
600197,伊力特,,,1.79,,,1693.78,21.9,,04-29
000017,深中华A,,,-3.79,,,-150.61,-51.94,,04-29
000819,岳阳兴长,,,2.29,,,513.32,-39.45,,04-29
600624,复旦复华,,,1.84,,,458.0,7.98,,04-29
000839,中信国安,,,4.77,,,5128.49,0.48,,04-29
600644,乐山电力,,,2.03,,,561.96,84.55,,04-29
000058,深赛格,,,1.73,,,-2439.87,-484.89,,04-29
600289,亿阳信通,,,5.37,,,1301.62,-39.49,,04-29
000917,电广传媒,,,7.08,,,135.07,-66.79,,04-29
600698,湖南天雁,,,0.38,,,187.4,-21.2,,04-29
000979,中弘股份,,,0.21,,,-1090.9,-11.22,,04-29
600000,浦发银行,,,4.01,,,66266.88,28.98,,04-29
600401,海润光伏,,,1.51,,,493.98,-33.65,,04-29
002047,宝鹰股份,,,3.36,,,2187.04,,,04-29
000632,三木集团,,,1.39,,,618.84,34.74,,04-29
600088,中视传媒,,,3.19,,,556.03,581.97,,04-29
600505,西昌电力,,,0.2,,,142.65,-83.28,,04-29
000728,国元证券,,,2.28,,,-7890.52,462.73,,04-29
600596,新安股份,,,3.85,,,4771.48,-2.54,,04-29
600221,海南航空,,,3.73,,,1208.63,-11.71,,04-29
600238,海南椰岛,,,3.05,,,972.44,34.56,,04-29
600633,浙报传媒,,,1.08,,,-466.0,41.1,,04-29
600721,百花村,,,0.01,,,-275.49,-71.87,,04-29
600353,旭光股份,,,3.56,,,-185.87,-49.46,,04-29
600009,上海机场,,,4.91,,,34978.93,6.84,,04-29
600435,北方导航,,,6.12,,,419.45,34.13,,04-29
000638,万方发展,,,-2.49,,,-448.42,-2374.01,,04-29
600094,大名城,,,2.61,,,-6759.09,-624.99,,04-29
600848,上海临港,,,0.33,,,144.9,19.35,,04-29
600116,三峡水利,,,2.38,,,-828.4,-51.96,,04-29
600866,*ST星湖,,,1.69,,,512.87,98.87,,04-29
600155,宝硕股份,,,2.33,,,1181.07,-41.34,,04-29
000009,中国宝安,,,1.24,,,773.76,20.14,,04-29
000862,银星能源,,,0.69,,,175.27,66.05,,04-29
600377,宁沪高速,,,2.95,,,25270.05,38.96,,04-29
600759,洲际油气,,,-0.68,,,-133.27,201.62,,04-29
000561,烽火电子,,,-1.64,,,-700.91,-1364.49,,04-29
600395,盘江股份,,,3.69,,,1978.82,-0.54,,04-29
600419,天润乳业,,,2.53,,,124.03,94.11,,04-29
002041,登海种业,,,8.03,,,4207.18,-22.64,,04-29
600470,六国化工,,,3.52,,,1533.41,5.62,,04-29
000655,金岭矿业,,,0.85,,,-573.24,-73.39,,04-29
600139,西部资源,,,0.7,,,-268.53,203.58,,04-29
600555,海航创新,,,3.9,,,2158.99,141.12,,04-29
600963,岳阳林纸,,,3.94,,,952.74,-42.27,,04-29
600196,复星医药,,,2.95,,,6089.88,2.45,,04-29
601607,上海医药,,,3.76,,,2518.16,-20.93,,04-29
000665,湖北广电,,,0.36,,,-410.09,-632.62,,04-29
600536,中国软件,,,3.09,,,568.45,11.84,,04-29
000752,西藏发展,,,2.74,,,405.56,-46.5,,04-29
