code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603817,海峡环保,0.19,,,,,6307.84,,,02-17
603839,安正时尚,0.8,,,16.59,,17029.72,,,02-13
603637,镇海股份,0.65,,,,,4967.53,,,02-07
300615,欣天科技,0.69,,,,,4164.89,,,01-25
300612,宣亚国际,0.4,,,21.89,,2141.78,,,01-25
300611,美力科技,0.49,,,10.15,,3111.15,,,01-25
603345,安井食品,0.52,,,11.45,,8488.92,,,01-24
603955,大千生态,,,,,,3465.44,,,01-23
300608,思特奇,-0.78,,,,,-3951.76,,,01-20
603040,新坐标,0.7,-12.5,,14.75,,3162.52,-11.63,,01-19
300609,汇纳科技,0.13,,,5.67,,992.56,,,01-18
002841,视源股份,0.91,,,51.33,1.05,32932.06,,,01-18
300610,晨化股份,0.46,,,11.27,0.77,3402.6,,,01-17
603677,奇精机械,0.97,,,,,5831.46,,,01-16
002848,高斯贝尔,0.1,,,,,3727.73,,,01-16
603626,科森科技,0.68,,,,,10725.74,,,01-13
300601,康泰生物,0.14,,,8.43,,5137.75,,,01-12
603690,至纯科技,0.07,,,,,1154.58,,,01-12
300605,恒锋信息,0.41,,,14.91,,2554.03,,,01-12
603177,德创环保,,,,,,2152.09,-66.96,,01-10
603579,荣泰健康,1.65,,,,,8678.02,,,01-10
300606,金太阳,0.34,,,12.48,,2294.54,,,01-10
002847,盐津铺子,0.51,,,,,4655.71,,,01-10
002846,英联股份,0.35,,,14.25,,3143.72,,,01-10
300598,诚迈科技,0.51,,,14.75,-0.04,3031.82,,,01-09
300603,立昂技术,,,,,,1341.47,,,01-09
300602,飞荣达,0.89,,,17.49,,6662.33,,,01-09
603881,数据港,0.3,,,16.64,,4812.51,,,01-09
603360,百傲化学,0.48,,,14.71,,4815.77,,,01-09
603877,太平鸟,0.66,,,19.2,-0.32,27521.45,,,01-06
300600,瑞特股份,1.04,,,22.52,,7826.41,,,01-06
002845,同兴达,0.75,,,16.71,,5406.06,,,01-05
603228,景旺电子,0.9,,,,,32341.59,,,01-05
603358,华达科技,1.24,,,16.76,,14845.34,,,01-05
300597,吉大通信,0.2,,,9.4,,3574.1,,,01-04
300595,欧普康视,,,,,,6594.87,,,01-04
300599,雄塑科技,0.27,,,10.87,-0.06,6137.85,,,01-03
603038,华立股份,1.0,-0.99,,12.28,,5023.86,-0.95,,12-30
002843,泰嘉股份,0.31,,,8.66,,3209.85,,,12-29
603039,泛微网络,0.31,,,,,1570.56,,,12-29
603337,杰克股份,0.84,-11.58,,17.24,,13091.66,-11.01,,12-29
601212,白银有色,-0.01,,,-0.27,,-3142.42,,,12-28
300584,海辰药业,0.37,,,,,2341.25,,,12-28
300596,利安隆,0.63,,,15.4,,5694.04,,,12-28
300592,华凯创意,0.1,,,,,877.51,,,12-28
300590,移为通信,1.19,,,52.2,,7117.21,,,12-27
603886,元祖股份,0.67,,,,,12062.14,,,12-27
300593,新雷能,0.37,,,10.72,,3203.82,,,12-23
002824,和胜股份,0.38,,,9.96,,3415.4,,,12-22
603639,海利尔,,,,,,12221.8,,,12-22
300591,万里马,,,,,,1729.6,,,12-20
603266,天龙股份,0.57,,,,,4291.04,,,12-19
300587,天铁股份,0.52,,,11.36,-0.1,4024.3,,,12-16
002840,华统股份,0.32,,,,,4264.21,,,12-16
300585,奥联电子,0.49,,,16.13,0.57,2950.64,,,12-16
603032,德新交运,0.35,,,15.52,,3533.13,,,12-15
002838,道恩股份,0.66,,,11.76,,4143.99,,,12-15
300586,美联新材,0.42,,,10.74,,2994.2,,,12-14
300571,平治信息,0.46,,,14.69,0.08,1390.21,,,12-12
002827,高争民爆,0.31,,,,,4244.07,,,12-08
300579,数字认证,0.22,,,7.59,,1320.91,,,12-08
002833,弘亚数控,0.69,,,23.79,,6874.69,,,12-07
300582,英飞特,0.52,,,,,5171.13,,,12-07
300581,晨曦航空,0.64,,,12.35,,2179.33,,,12-07
002828,贝肯能源,0.41,,,8.16,-0.42,3591.01,,,12-07
300577,开润股份,0.9,,,26.88,,4499.92,,,12-06
300576,容大感光,0.34,,,9.19,,2054.03,,,12-05
300580,贝斯特,0.41,,,11.46,,6185.06,,,12-01
603559,中通国脉,0.24,,,,,1586.8,,,12-01
603577,汇金通,0.37,,,,,3229.77,,,12-01
002829,星网宇达,0.51,,,10.41,,2918.93,,,11-30
002830,名雕股份,0.36,,,,,1797.25,,,11-29
603319,湘油泵,0.59,,,10.46,0.76,3597.87,,,11-29
002825,纳尔股份,0.61,,,16.81,0.59,4597.85,,,11-28
603323,吴江银行,0.53,,,8.47,,53548.8,,,11-28
002822,中装建设,0.39,,,10.01,-0.55,8814.42,,,11-28
002831,裕同科技,1.24,,,,,44717.01,,,11-25
300573,兴齐眼药,0.37,,,,,2197.96,,,11-25
603819,神力股份,0.38,,,7.69,0.09,3386.67,,,11-24
603336,宏辉果蔬,0.44,,,11.92,,4378.41,,,11-23
603900,通灵珠宝,0.78,,,,,14137.7,,,11-22
300572,安车检测,0.65,,,14.28,,3253.33,,,11-21
300565,科信技术,0.44,,,17.51,-0.1,5338.06,,,11-21
603987,康德莱,0.44,,,10.56,0.72,6933.02,,,11-18
002820,桂发祥,0.82,,,20.42,0.99,7897.29,,,11-17
603858,步长制药,4.73,,,54.94,,289226.3,,,11-17
002821,凯莱英,0.91,,,10.45,2.43,8233.93,,,11-17
300561,汇金科技,1.35,,,28.18,-0.55,5660.7,,,11-16
300566,激智科技,0.66,,,17.76,0.88,3909.73,,,11-14
300568,星源材质,0.75,,,14.22,,6779.54,,,11-11
603668,天马科技,0.29,,,13.03,,4592.23,,,11-11
300563,神宇股份,0.42,,,11.3,0.37,2513.1,,,11-11
002819,东方中科,0.26,,,7.68,-0.44,2196.0,,,11-10
603556,海兴电力,0.91,,,18.26,0.71,25414.35,,,11-09
300569,天能重工,1.59,,,19.27,0.65,9910.65,,,11-08
603060,国检集团,,,,,,6885.78,,,11-08
002818,富森美,0.84,,,16.37,1.24,33104.5,,,11-08
603203,快克股份,0.85,,,,0.97,5847.11,,,11-07
300558,贝达药业,0.81,,,42.56,0.86,28989.4,,,11-04
601882,海天精工,0.09,,,4.67,0.12,4422.61,,,11-04
300556,丝路视觉,0.01,,,0.25,-0.21,55.48,,,11-03
603843,正平股份,0.18,,,8.3,,5467.59,,,10-31
600919,江苏银行,0.71,,,12.39,,735053.6,,,10-31
002813,路畅科技,0.14,,,,,1697.93,,,10-31
603159,上海亚虹,0.35,,,14.13,,2612.08,,,10-31
300560,中富通,0.46,,,10.01,-0.6,2431.66,,,10-31
600908,无锡银行,0.38,,,9.66,,63928.15,,,10-31
300559,佳发安泰,0.77,,,19.41,0.92,4130.52,,,10-31
603859,能科股份,-0.06,,,-1.22,,-476.76,,,10-31
600936,广西广电,0.25,,,13.97,,34127.04,,,10-31
603887,城地股份,0.56,,,13.03,,4119.37,,,10-31
300557,理工光科,0.16,,,2.92,-0.56,669.21,,,10-31
603016,新宏泰,0.45,,,12.08,,5039.91,,,10-31
300533,冰川网络,1.85,,,,,13862.63,,,10-29
300550,和仁科技,0.42,,,,,2533.79,,,10-29
603779,威龙股份,0.07,,,2.26,,1117.13,,,10-29
603800,道森股份,0.2,,,6.54,,3165.47,,,10-29
300509,新美星,0.63,,,,,3780.97,,,10-29
300520,科大国创,0.24,,,,,1634.06,,,10-29
300555,路通视信,0.63,,,,,3801.96,,,10-29
603313,梦百合,0.69,,,22.52,,12466.94,,,10-29
603861,白云电器,0.21,,,6.14,,7670.57,,,10-29
603816,顾家家居,1.04,,,34.62,,34446.11,,,10-29
300512,中亚股份,0.5,,,,,10185.6,,,10-29
600977,中国电影,0.48,,,15.84,,66846.62,,,10-29
300547,川环科技,1.08,,,,,4853.09,,,10-29
603322,超讯通信,0.31,,,9.0,,1850.28,,,10-29
300540,深冷股份,0.6,,,,,3587.71,,,10-29
603189,网达软件,0.1,,,4.56,,1700.0,,,10-29
603738,泰晶科技,0.52,,,11.22,,2618.17,,,10-29
300551,古鳌科技,0.09,,,,,518.12,,,10-29
300539,横河模具,0.27,,,,,1951.1,,,10-29
601997,贵阳银行,1.36,,,20.84,14.93,245100.4,,,10-28
300510,金冠电气,0.39,,,,,2542.09,,,10-28
300516,久之洋,0.64,,,,,5720.87,,,10-28
603160,汇顶科技,0.56,,,23.64,,22451.36,,,10-28
603569,长久物流,0.61,,,26.32,,22049.39,,,10-28
300521,爱司凯,0.47,,,,,2827.39,,,10-28
300538,同益股份,0.74,,,,,3114.09,,,10-28
603919,金徽酒,0.56,,,17.5,,11712.17,,,10-28
300527,华舟应急,0.08,,,,,2761.86,,,10-28
300543,朗科智能,1.17,,,,,5269.54,,,10-28
601811,新华文轩,0.41,,,7.48,,47024.3,,,10-28
300515,三德科技,0.32,,,,,2370.46,,,10-28
603608,天创时尚,0.35,,,9.3,,7401.98,,,10-28
603986,兆易创新,1.61,,,25.38,,12097.93,,,10-28
002807,江阴银行,0.35,,,,,54577.9,,,10-28
300526,中潜股份,0.35,,,,,2208.28,,,10-28
603663,三祥新材,0.26,,,11.7,,2618.71,,,10-28
300542,新晨科技,0.11,,,,,727.33,,,10-28
603726,朗迪集团,0.8,,,13.75,,5650.76,,,10-28
603958,哈森股份,0.47,,,13.22,,7618.84,,,10-28
002812,创新股份,0.96,,,,,9627.12,,,10-28
