code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603208,江山欧派,1.55,55.0,5.85,29.8,1.76,9372.76,54.42,,01-16
603839,安正时尚,1.14,6.54,,23.17,1.24,24386.78,6.58,,01-16
603626,科森科技,1.25,340.71,5.28,62.28,0.64,19823.73,340.76,,01-13
300605,恒锋信息,0.56,9.93,3.08,20.0,0.82,3521.64,15.27,,01-12
300601,康泰生物,,,1.75,10.21,0.75,6282.17,101.59,,01-12
300578,会畅通讯,0.62,-13.89,2.58,25.19,0.58,3338.35,-13.6,,01-12
603637,镇海股份,0.96,29.73,4.39,23.87,1.72,7390.21,30.07,,01-12
002846,英联股份,0.5,2.04,2.71,19.98,0.59,4514.66,2.45,,01-10
603177,德创环保,0.22,-66.15,2.06,11.51,0.56,3400.68,-57.59,,01-10
603429,集友股份,0.92,19.54,2.94,29.97,0.98,4687.12,19.55,,01-10
300606,金太阳,0.49,11.64,3.02,17.2,0.57,3246.02,11.66,,01-10
002847,盐津铺子,0.7,34.62,2.68,30.26,0.86,6544.39,35.36,,01-10
603881,数据港,0.46,21.05,,23.95,0.73,7214.16,22.09,,01-09
603360,百傲化学,0.57,-10.94,3.61,17.28,0.74,5733.86,-10.45,,01-09
300598,诚迈科技,0.72,41.18,3.89,20.3,0.78,4301.32,40.8,,01-09
300603,立昂技术,0.34,61.9,,11.86,0.4,2599.48,58.03,,01-09
300602,飞荣达,,,5.93,25.38,1.34,10074.95,20.05,,01-09
603089,正裕工业,0.84,10.53,,20.07,1.13,6717.74,11.0,,01-06
300600,瑞特股份,1.42,57.78,5.54,29.51,1.13,10678.88,58.86,,01-06
603358,华达科技,2.14,16.3,8.58,27.65,2.05,25728.44,16.29,,01-05
002845,同兴达,0.98,-1.01,5.1,21.2,2.42,7034.34,9.56,,01-05
603966,法兰泰克,0.45,-10.0,3.93,12.0,0.18,5385.71,-9.49,,01-04
300597,吉大通信,0.32,3.23,2.01,17.32,0.13,5774.05,5.85,,01-04
300595,欧普康视,1.74,39.1,4.95,40.04,1.57,8870.48,39.1,,01-04
300599,雄塑科技,0.43,-12.24,2.63,17.34,0.69,9868.45,-10.71,,01-03
603638,艾迪精密,0.39,14.82,3.21,12.09,0.78,5186.01,14.82,,12-30
603038,华立股份,1.4,-2.1,9.07,16.66,2.6,6977.83,-2.23,,12-30
603337,杰克股份,1.1,-12.7,5.37,22.49,1.75,17005.54,-12.59,,12-29
603039,泛微网络,1.01,17.44,4.59,24.64,2.03,5039.6,17.01,,12-29
002843,泰嘉股份,0.39,-30.36,3.64,11.02,0.86,4098.01,-29.82,,12-29
002841,视源股份,0.98,58.06,2.24,54.65,1.48,35446.35,56.92,,12-29
601212,白银有色,0.02,-5.26,1.79,0.95,0.22,11069.3,-8.46,,12-28
300592,华凯创意,0.4,-9.09,3.18,13.47,0.41,3686.87,0.79,,12-28
601858,中国科传,0.38,11.76,2.9,14.03,0.54,25245.16,11.99,,12-28
300596,利安隆,0.82,64.0,4.6,19.48,0.9,7368.28,63.25,,12-28
300584,海辰药业,0.67,17.54,3.92,18.53,0.9,4032.9,17.87,,12-28
300590,移为通信,1.69,32.37,2.98,69.68,1.56,10152.17,32.37,,12-27
002842,翔鹭钨业,0.7,-6.67,5.55,13.45,0.96,5214.8,-7.07,,12-27
603579,荣泰健康,2.72,126.67,5.9,59.36,4.09,14270.24,131.74,,12-27
603165,荣晟环保,0.81,42.11,2.93,24.49,1.53,7719.44,42.08,,12-26
300589,江龙船艇,0.5,11.11,2.04,27.85,1.1,3246.14,11.07,,12-26
603639,海利尔,1.45,-1.36,6.14,26.19,1.43,13046.15,-1.56,,12-22
002824,和胜股份,0.57,18.75,4.12,14.5,0.99,5142.61,19.62,,12-22
603628,清源股份,0.32,45.45,2.36,14.57,0.01,6632.85,49.2,,12-21
300591,万里马,0.18,22.05,1.36,14.03,0.62,3206.88,21.99,,12-20
603444,吉比特,3.28,-9.64,9.04,43.74,3.5,17497.77,-9.59,,12-20
603266,天龙股份,0.9,0.0,4.68,21.18,1.06,6723.65,-0.8,,12-19
603877,太平鸟,1.28,23.08,,34.63,0.56,53590.35,22.65,,12-19
300583,赛托生物,2.34,13.04,5.98,48.67,1.09,18704.46,12.84,,12-19
002836,新宏泽,0.61,-29.07,4.23,14.96,0.88,3654.07,-29.58,,12-19
603037,凯众股份,1.07,8.08,6.33,18.15,1.07,6416.56,7.62,,12-19
603228,景旺电子,1.17,30.0,,36.46,1.57,42245.34,29.76,,12-16
603689,皖天然气,0.46,6.98,,12.03,0.38,11588.74,7.28,,12-16
300587,天铁股份,0.85,41.67,5.08,18.2,0.57,6667.03,41.49,,12-16
002840,华统股份,0.56,-12.5,5.46,10.74,1.03,7518.39,-7.96,,12-16
300585,奥联电子,0.66,13.79,3.24,21.91,1.01,3953.67,24.01,,12-16
002837,英维克,1.13,59.15,3.59,37.34,0.74,6780.39,59.42,,12-15
603032,德新交运,0.43,-21.82,,20.07,0.56,4301.55,-21.78,,12-15
300588,熙菱信息,0.38,15.9,2.53,17.85,0.31,2842.07,15.83,,12-15
603035,常熟汽饰,1.06,10.42,5.97,18.5,0.86,22349.05,10.64,,12-15
002838,道恩股份,0.95,26.67,6.22,16.56,0.72,5989.2,26.93,,12-15
603186,华正新材,0.42,75.0,3.6,12.28,0.33,4083.48,76.34,,12-14
300586,美联新材,0.57,7.55,4.23,14.48,0.68,4116.83,8.09,,12-14
603929,亚翔集成,0.5,92.31,3.4,15.61,0.77,7947.66,90.12,,12-12
603218,日月股份,1.18,73.53,,36.71,,42356.9,74.18,,12-08
300579,数字认证,0.8,8.11,3.48,25.17,0.79,4776.9,7.86,,12-08
300582,英飞特,0.94,42.42,3.87,27.69,0.95,9311.41,41.58,,12-07
300581,晨曦航空,1.49,8.67,6.43,26.4,0.5,5037.27,8.68,,12-07
002833,弘亚数控,0.89,-17.59,3.3,30.03,1.13,8914.8,-17.67,,12-07
300577,开润股份,1.32,57.14,4.19,37.47,1.21,6624.33,57.67,,12-06
002835,同为股份,0.74,45.1,3.72,22.2,0.79,6026.71,46.69,,12-06
002832,比音勒芬,1.54,14.93,6.59,26.46,1.73,12319.02,14.59,,12-06
603886,元祖股份,0.64,42.22,2.44,28.48,1.61,11443.94,40.33,,12-06
603298,杭叉集团,0.67,-10.67,,19.9,1.14,35742.48,-10.15,,12-05
600996,贵广网络,0.5,19.05,2.01,28.11,0.67,41540.78,18.41,,12-05
300576,容大感光,0.56,36.59,3.64,15.72,0.55,3330.28,36.44,,12-05
603058,永吉股份,0.24,-50.73,1.39,17.87,0.27,9125.0,-1.44,,12-02
300575,中旗股份,1.72,18.62,8.58,22.16,1.2,9480.79,18.73,10派2,12-02
603577,汇金通,0.65,27.09,,12.72,0.17,5677.83,37.52,,12-01
300580,贝斯特,0.63,24.05,3.99,16.97,0.85,9409.07,24.03,,12-01
002829,星网宇达,1.17,-17.02,5.74,22.4,0.06,6672.11,-16.83,,11-30
603823,百合花,0.72,10.77,3.43,23.3,0.39,12978.26,10.27,,11-29
002830,名雕股份,0.96,-4.0,,16.9,2.42,4808.69,-4.15,,11-29
603416,信捷电气,1.08,8.0,4.37,27.53,1.01,8128.62,7.44,,11-29
300571,平治信息,0.86,26.47,3.78,25.62,0.45,2577.56,26.78,,11-28
603878,武进不锈,0.9,-7.22,,12.77,2.21,13580.3,-7.54,,11-28
603389,亚振家居,0.47,6.82,2.47,20.4,0.43,7720.44,6.13,,11-25
300573,兴齐眼药,0.37,-28.85,6.5,5.8,0.36,2197.96,-29.12,,11-25
603585,苏利股份,1.57,70.65,7.1,24.95,1.96,11809.75,71.64,,11-24
603990,麦迪科技,0.65,0.0,3.11,23.31,0.63,3895.6,-0.74,,11-23
603098,森特股份,0.51,-32.89,,19.63,0.26,17319.34,-32.78,,11-23
603239,浙江仙通,1.3,64.56,4.72,31.09,1.05,8772.9,65.06,,11-23
603708,家家悦,0.92,9.52,3.7,25.39,1.57,24725.52,8.54,,11-22
300572,安车检测,0.84,15.64,5.07,18.15,2.07,4222.02,15.65,,11-21
603928,兴业股份,0.72,22.03,,22.1,0.91,10884.0,22.89,,11-21
603036,如通股份,0.41,-22.64,3.91,11.06,0.51,6289.41,-22.64,,11-18
002828,贝肯能源,0.74,-6.33,,14.23,1.05,6522.29,-5.48,,11-18
300570,太辰光,1.22,38.21,3.94,36.01,1.34,11644.43,38.2,,11-15
603033,三维股份,1.34,-25.14,9.58,15.03,1.28,9101.2,-25.2,,11-15
002827,高争民爆,0.48,2.13,,21.79,0.82,6628.34,3.11,,11-14
002826,易明医药,0.37,54.17,1.74,24.51,-0.21,5002.99,54.54,,11-14
603668,天马科技,0.42,13.51,2.43,18.36,0.9,6604.66,10.92,,11-11
300568,星源材质,1.31,72.37,5.88,23.99,1.28,11834.18,73.07,,11-11
002825,纳尔股份,0.79,2.6,3.88,21.85,0.84,5944.15,3.21,,11-10
603559,中通国脉,0.62,10.71,4.5,14.6,0.51,4059.51,9.7,,11-10
603660,苏州科达,0.6,125.16,,21.34,0.99,12027.84,125.18,,11-09
300569,天能重工,2.76,134.57,10.2,31.32,2.9,17261.04,134.57,,11-08
002822,中装建设,0.68,19.3,4.88,15.07,0.1,15381.12,20.86,,11-08
002823,凯中精密,0.84,20.0,4.15,22.43,1.0,9125.45,20.14,,11-07
002820,桂发祥,0.98,8.89,,24.02,0.96,9404.46,8.72,,10-31
603727,博迈科,1.25,52.44,5.76,24.35,1.23,21921.16,51.48,,10-31
300565,科信技术,0.52,8.33,2.84,20.3,0.07,6283.82,9.15,,10-31
603633,徕木股份,0.43,-21.82,4.98,9.1,0.74,3910.18,-21.27,,10-31
300563,神宇股份,0.54,25.58,4.04,14.38,0.85,3248.62,25.68,,10-31
603987,康德莱,0.6,46.34,,14.09,0.93,9454.95,46.64,,10-31
603900,通灵珠宝,0.99,5.32,,17.59,0.76,18101.87,5.24,,10-31
300562,乐心医疗,1.14,7.55,5.08,24.57,0.81,5018.88,10.69,,10-31
603336,宏辉果蔬,0.63,36.96,,16.61,0.21,6255.22,35.24,,10-31
002821,凯莱英,1.71,51.33,9.79,18.62,2.86,15354.5,50.84,,10-31
603858,步长制药,5.78,167.2,11.69,63.78,3.47,353676.44,167.2,,10-31
300561,汇金科技,1.69,16.55,5.64,34.38,1.04,7097.3,16.49,,10-31
002820,桂发祥,0.98,8.89,,24.02,0.96,9404.46,8.72,,10-31
603727,博迈科,1.25,52.44,5.76,24.35,1.23,21921.16,51.48,,10-31
300566,激智科技,0.96,11.63,4.31,25.03,0.41,5732.26,13.22,,10-31
603690,至纯科技,0.11,-32.74,1.59,7.4,0.01,1769.87,-32.62,,10-26
603556,海兴电力,1.55,23.02,,29.52,1.64,43340.86,22.4,,10-21
603319,湘油泵,0.64,-13.51,5.96,11.29,1.29,3892.15,-13.51,,10-20
603060,国检集团,0.64,23.18,2.56,27.45,1.08,10487.92,23.18,,10-20
002819,东方中科,0.37,117.57,3.5,10.93,0.44,3104.87,117.56,,10-20
300558,贝达药业,0.96,28.0,2.48,48.72,1.07,34529.81,28.23,,10-19
300557,理工光科,0.91,8.33,6.11,15.1,0.6,3810.37,8.8,,10-19
603203,快克股份,1.18,9.26,3.73,33.04,1.34,8162.4,9.86,,10-18
300556,丝路视觉,0.38,5.56,3.08,12.99,0.15,3131.8,4.42,,10-18
300560,中富通,0.66,4.76,5.05,13.99,0.28,3471.22,4.0,,10-18
300559,佳发安泰,1.07,-20.15,4.46,26.66,1.01,5758.09,-20.07,,10-17
002818,富森美,1.14,37.35,5.77,21.8,1.8,45267.15,36.93,,10-17
601882,海天精工,0.12,-28.4,2.07,6.14,0.19,5841.82,-28.39,,10-17
603716,塞力斯,1.61,8.78,12.06,14.29,1.21,6145.93,8.74,,10-17
603888,新华网,1.68,38.84,6.84,28.83,1.76,26233.82,39.59,,10-10
603258,电魂网络,1.21,-20.39,2.31,54.6,1.21,21749.87,-20.4,,09-30
300553,集智股份,0.83,-12.63,4.44,20.48,0.76,3002.45,-12.26,,09-29
002817,黄山胶囊,0.84,5.0,4.98,18.36,0.62,5489.05,6.05,,09-28
300550,和仁科技,0.86,11.69,3.57,27.46,0.68,5172.8,11.39,,09-28
603667,五洲新春,0.56,-1.75,,13.88,0.92,8510.46,-1.45,,09-27
002816,和科达,0.53,1.84,,13.71,0.5,3950.4,1.85,,09-27
300555,路通视信,0.99,-10.0,4.42,25.02,0.33,5950.13,-9.66,,09-27
300552,万集科技,0.8,344.44,4.95,17.58,1.08,6394.06,346.29,,09-26
300551,古鳌科技,0.92,-9.28,4.96,20.5,0.38,5070.3,-9.28,,09-26
603859,能科股份,0.45,-7.55,4.98,9.43,0.43,3870.28,-7.55,,09-26
603160,汇顶科技,0.95,-1.36,2.93,35.52,0.57,37835.31,-1.36,,09-20
300547,川环科技,1.45,9.02,6.31,24.56,1.49,6516.98,9.21,,09-19
603816,顾家家居,1.51,17.05,3.12,49.88,2.31,49831.19,17.42,,09-19
603313,梦百合,0.91,24.66,3.58,28.8,0.93,16426.08,25.56,,09-14
300549,优德精密,0.88,-9.28,3.33,24.5,1.3,4400.99,-9.58,,09-14
300548,博创科技,0.71,77.5,4.84,15.38,0.2,4393.53,75.85,,09-14
300546,雄帝科技,1.34,22.94,6.98,21.19,0.76,5346.83,22.8,,09-13
603777,来伊份,0.73,-2.67,5.99,12.99,1.06,13158.85,-3.07,,09-13
603421,鼎信通讯,0.69,-29.59,2.74,28.83,0.32,27045.33,-29.37,,09-12
600926,杭州银行,1.64,-6.29,13.51,12.84,14.81,370447.9,5.65,,09-12
603738,泰晶科技,1.0,4.17,5.34,20.52,1.25,5017.82,4.63,,09-12
300545,联得装备,0.96,6.67,4.11,25.94,0.52,5131.9,6.96,,09-12
002815,崇达技术,0.84,10.53,2.88,32.12,1.26,30088.23,10.0,,09-12
002813,路畅科技,0.51,-47.96,5.07,10.7,0.65,4631.51,-47.75,,09-12
601500,通用股份,0.29,-21.62,,10.85,0.36,15997.56,-21.06,,08-26
300542,新晨科技,0.52,0.0,5.49,9.88,-0.25,3515.81,0.04,,08-26
300541,先进数通,0.68,13.33,3.84,19.37,0.26,6095.9,12.87,,08-25
603189,网达软件,0.44,7.32,2.04,23.02,0.45,7326.07,9.1,,08-25
300534,陇神戎发,0.93,0.42,6.24,15.91,0.47,6067.72,0.42,,08-24
603067,振华股份,0.38,-32.14,,9.9,0.38,6248.82,-32.36,,08-24
002812,创新股份,1.49,17.32,,19.42,1.86,15005.25,17.4,,08-23
603887,城地股份,0.76,13.43,4.78,17.3,0.13,5596.09,12.98,,08-23
603393,新天然气,1.67,-7.73,5.66,32.82,1.78,20040.5,-7.63,,08-23
002812,创新股份,1.49,17.32,,19.42,1.86,15005.25,17.4,,08-23
002811,亚泰国际,0.81,-2.41,4.36,20.14,-0.32,10957.65,-2.28,,08-22
601128,常熟银行,0.48,-4.0,,12.79,-1.62,96600.35,-3.28,,08-22
601163,三角轮胎,1.34,-20.71,4.56,26.14,1.36,80558.37,-20.49,,08-22
300539,横河模具,0.37,19.35,2.89,13.68,0.7,2655.14,20.73,,08-11
603658,安图生物,0.74,34.55,1.9,46.36,0.82,27802.68,33.52,,08-11
300538,同益股份,1.01,4.12,4.52,24.39,1.01,4224.19,3.75,,08-10
600908,无锡银行,0.5,-10.71,,12.3,6.98,83333.64,-9.97,,08-10
002809,红墙股份,1.38,2.22,7.07,21.38,1.07,8258.42,2.28,,08-09
300537,广信材料,0.55,3.55,3.24,18.72,0.6,4158.58,3.54,,08-09
603977,国泰集团,0.59,-9.23,,17.65,0.69,9701.53,-9.52,,08-09
300540,深冷股份,1.01,-14.41,4.92,22.47,-0.76,6072.98,-13.97,,08-08
002810,山东赫达,0.69,-10.39,5.52,13.31,0.92,4928.52,-10.37,,08-08
603031,安德利,0.76,26.67,5.56,14.69,1.97,4569.07,26.6,,08-08
300536,农尚环境,0.68,11.48,3.83,19.5,0.08,4750.41,11.29,,08-08
603090,宏盛股份,0.49,5.81,3.19,16.27,0.45,3686.05,5.68,,08-08
300533,冰川网络,2.29,9.05,6.31,38.71,2.31,17154.92,8.85,,07-29
603515,欧普照明,0.84,50.0,3.48,26.36,0.79,43595.63,48.66,,07-29
603986,兆易创新,2.1,60.31,7.62,31.92,2.9,15778.26,60.8,,07-28
300532,今天国际,0.99,-15.38,5.83,17.73,0.15,6230.28,-15.61,,07-28
300535,达威股份,1.07,18.89,7.01,16.37,1.53,4809.19,19.71,,07-28
601595,上海电影,0.69,18.97,2.79,28.86,1.1,19276.96,19.44,,07-27
601997,贵阳银行,1.79,32.59,7.76,26.37,21.05,322180.7,32.27,,07-27
300530,达志科技,0.72,0.0,4.83,16.18,1.17,3798.98,0.65,,07-27
002807,江阴银行,0.52,-0.42,4.64,12.13,5.7,81449.9,-0.42,,07-26
600936,广西广电,0.28,7.69,1.46,16.36,0.62,38038.51,5.82,,07-26
603843,正平股份,0.29,-25.64,2.32,13.36,-0.8,8839.21,-24.49,,07-25
002808,苏州恒久,0.47,0.43,3.31,15.14,0.19,4220.76,0.37,,07-25
300531,优博讯,0.99,25.32,4.43,25.19,0.78,5949.47,25.97,,07-25
603159,上海亚虹,0.51,82.14,2.8,20.02,0.67,3822.87,81.02,,07-25
603569,长久物流,0.85,14.86,2.49,35.65,0.97,30606.34,15.52,,07-21
600977,中国电影,0.62,75.64,3.42,20.1,1.44,86831.78,75.88,,07-20
601811,新华文轩,0.57,1.79,6.41,9.83,0.9,64726.95,2.29,,07-19
300528,幸福蓝海,0.46,31.43,,8.69,1.65,10707.1,30.41,,07-18
300527,华舟应急,0.39,28.95,2.64,15.55,1.63,13589.21,28.99,,07-15
002831,裕同科技,1.83,17.11,6.03,35.27,1.18,65819.93,17.11,,07-15
300529,健帆生物,0.54,25.58,1.52,39.58,0.55,20044.1,25.24,,07-14
603603,博天环境,0.35,16.67,2.09,18.02,-1.22,12422.23,32.94,,07-14
603322,超讯通信,0.71,,3.99,19.7,0.59,4264.08,49.42,,07-14
603007,花王股份,0.68,21.43,4.04,18.41,0.52,6780.61,21.9,,07-14
300526,中潜股份,0.66,29.41,4.21,17.14,1.71,4224.83,31.39,,07-13
300525,博思软件,0.72,17.79,4.51,17.54,0.96,3673.2,17.79,,07-13
002806,华锋股份,0.43,58.3,3.77,12.01,0.49,2564.14,58.28,,07-12
300523,辰安科技,1.3,120.34,5.25,27.59,0.96,7779.77,118.02,,07-11
603663,三祥新材,0.33,10.0,,14.64,0.53,3309.64,9.08,,07-11
300567,精测电子,1.28,52.38,4.06,37.57,0.67,7675.04,52.83,,06-30
002803,吉宏股份,0.43,,2.94,14.6,0.64,3738.44,95.89,,06-22
300521,爱司凯,0.71,14.52,3.83,20.52,0.51,4280.32,14.27,,06-22
603069,海汽集团,0.29,3.57,2.95,10.41,0.99,6888.77,4.69,,06-21
300522,世名科技,1.11,24.72,4.56,27.32,1.18,5528.81,23.83,,06-21
002805,丰元股份,0.36,-23.4,5.67,6.48,0.38,2631.11,-23.08,,06-20
600919,江苏银行,0.91,8.33,6.27,15.72,14.3,949743.3,9.36,,06-20
300520,科大国创,0.64,30.61,3.85,18.31,0.51,4444.85,32.8,,06-20
601966,玲珑轮胎,0.68,-18.07,4.36,15.25,1.01,67761.09,-18.77,,06-13
603016,新宏泰,0.59,-3.28,4.12,15.49,0.8,6588.17,-2.76,,06-08
600939,重庆建工,0.48,1100.0,,19.13,0.82,78074.95,1234.39,,06-08
002802,洪汇新材,0.56,47.37,3.47,17.54,0.64,4537.01,46.9,,06-07
002801,微光股份,1.86,15.53,9.29,22.17,2.21,8222.46,16.01,,06-07
603958,哈森股份,0.73,14.22,3.93,20.07,0.25,11912.08,14.13,,06-07
300518,盛讯达,1.32,5.6,6.94,20.97,1.26,9213.64,5.01,,06-06
300517,海波重科,0.59,18.0,4.19,15.15,0.97,4528.9,18.25,,06-06
603909,合诚股份,0.71,7.98,3.98,19.34,0.62,5300.24,7.98,,06-06
300519,新光药业,1.98,12.5,5.16,44.38,2.08,11878.42,12.43,,06-06
601127,小康股份,0.5,25.0,3.46,15.67,0.52,37236.97,23.93,,05-23
300515,三德科技,0.56,-10.33,3.04,19.52,0.37,4217.19,-10.33,,05-20
002799,环球印务,0.46,-11.54,4.25,11.6,0.84,3484.13,-8.65,,05-19
603131,上海沪工,0.65,-4.41,4.47,15.42,0.89,4848.14,-4.44,,05-18
002800,天顺股份,0.58,0.0,4.83,12.73,0.82,3272.91,1.06,,05-17
601611,中国核建,0.38,18.75,2.87,15.79,0.32,79753.16,19.7,,05-16
603737,三棵树,1.54,12.41,7.31,23.2,2.86,11550.94,12.51,,05-16
300516,久之洋,1.33,29.13,4.39,33.82,1.39,11981.02,28.68,,05-16
603959,百利科技,0.45,4.65,2.74,17.68,0.22,7487.45,4.74,,05-16
300513,恒泰实达,0.68,12.9,5.37,13.55,0.54,3893.73,12.9,,05-16
603323,吴江银行,0.6,-22.08,6.55,9.74,5.46,60444.8,-21.27,,05-05
002306,中科云网,0.08,-109.41,,-122.27,,6557.4,-109.59,,04-30
300135,宝利国际,0.03,-79.03,,2.04,,2683.06,-57.7,,04-30
600677,航天通信,0.03,-105.07,,0.65,,1082.25,-104.39,10派0.2,04-30
000004,国农科技,0.01,-70.2,,1.54,,124.71,-67.19,,04-30
000938,紫光股份,0.74,20.79,,6.92,,15215.56,20.93,10派0.2,04-30
002118,紫鑫药业,0.08,-11.11,,1.98,,3959.15,-16.11,,04-30
000809,铁岭新城,-0.22,-540.0,,-5.31,,-17933.97,-723.32,,04-30
000887,中鼎股份,0.64,23.08,,21.69,,71370.59,25.97,10派0.8,04-30
000546,金圆股份,0.44,46.68,,15.06,,26438.53,103.9,,04-30
