code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002602,世纪华通,0.31,,,,-0.03,3972.87,,,07-27
300245,天玑科技,0.15,,,11.06,-0.08,841.22,,,07-18
300244,迪安诊断,0.32,,,,-0.59,698.13,,,07-18
002601,龙蟒佰利,0.36,,,,0.56,2507.14,,,07-14
002600,江粉磁材,0.06,,,,-0.05,1229.4,,,07-14
300243,瑞丰高材,0.21,,,,-0.12,823.95,,,07-11
300242,明家联合,0.03,,,,-0.15,182.57,,,07-11
300241,瑞丰光电,0.16,,,3.56,0.3,552.31,,,07-11
002596,海南瑞泽,0.1,,,,-0.08,1012.48,,,07-06
002598,山东章鼓,0.09,,,,0.15,1057.0,,,07-06
002597,金禾实业,0.32,,,,-0.39,2537.31,,,07-06
300238,冠昊生物,0.04,,,,-0.1,172.02,,,07-05
300240,飞力达,0.12,,,5.61,-0.03,962.87,,,07-05
300239,东宝生物,0.06,,,,-0.03,331.98,,,07-05
002594,比亚迪,0.75,,,,1.25,170412.7,,,06-29
300237,美晨科技,0.5,,,,0.14,2146.19,,,06-28
300236,上海新阳,0.07,,,,0.07,475.19,,,06-28
300235,方直科技,0.15,,,,-0.08,496.37,,,06-28
002595,豪迈科技,0.2,,,,0.27,3070.08,,,06-27
002593,日上集团,0.07,,,,-0.14,1276.34,,,06-27
300232,洲明科技,0.15,,,,0.02,887.15,,,06-21
300234,开尔新材,0.13,,,,0.14,806.37,,,06-21
300233,金城医药,0.25,,,,-0.08,2221.11,,,06-21
002591,恒大高新,0.1,,,,-0.08,609.52,,,06-20
300231,银信科技,0.09,,,,-0.62,255.81,,,06-14
300230,永利股份,0.1,,,4.79,0.02,671.54,,,06-14
300229,拓尔思,0.03,,,,-0.12,258.74,,,06-14
002590,万安科技,0.29,,,,0.43,2029.48,,,06-09
002589,瑞康医药,0.16,,,4.67,-0.87,1118.16,,,06-09
002588,史丹利,0.11,,,,-3.96,1073.14,,,06-09
002587,奥拓电子,0.0,,,,0.1,26.7,,,06-09
300227,光韵达,0.05,,,2.88,0.08,264.86,,,06-07
300226,上海钢联,0.23,,,,0.26,716.18,,,06-07
300228,富瑞特装,0.11,,,,-1.76,574.2,,,06-07
002585,双星新材,0.19,,,,0.23,2798.04,,,06-01
002584,西陇科学,0.1,,,4.42,-0.11,1428.82,,,06-01
002586,围海股份,0.09,,,,-0.96,749.89,,,06-01
300225,金力泰,0.53,,,15.04,0.3,2644.7,,,05-30
300224,正海磁材,0.21,,,13.14,-0.23,2492.01,,,05-30
300223,北京君正,0.35,,,,0.42,2052.21,,,05-30
002583,海能达,0.01,,,1.0,-0.04,211.26,,,05-26
300222,科大智能,-0.02,,,,-0.2,-106.64,,,05-24
300221,银禧科技,0.15,,,6.85,,1088.92,,,05-24
300220,金运激光,0.16,,,9.41,-0.15,426.65,,,05-24
002582,好想你,0.54,,,,1.69,2978.67,,,05-19
002581,未名医药,0.25,,,,0.45,2020.2,,,05-19
300219,鸿利智汇,0.15,,,,-0.18,1342.36,,,05-17
300218,安利股份,0.13,,,,-0.63,1092.54,,,05-17
300217,东方电热,0.25,,,8.2,0.07,1642.67,,,05-17
300216,千山药机,0.12,,,4.29,,590.29,,,05-10
300215,电科院,0.31,,,,0.61,1032.21,,,05-10
300214,日科化学,0.13,,,,-0.45,1264.71,,,05-10
002579,中京电子,0.11,,,,0.14,809.57,,,05-05
002580,圣阳股份,0.1,,,,-0.36,493.3,,,05-05
300213,佳讯飞鸿,,,,,,65.05,,,05-04
601818,光大银行,0.11,,,7.65,-1.76,383289.2,,,04-30
300197,铁汉生态,0.29,,,,,1335.23,,,04-29
601377,兴业证券,0.09,,,,,16979.04,,,04-27
002500,山西证券,0.03,,,1.83,-0.9,5789.09,,,04-27
002546,新联电子,0.05,,,2.28,-0.46,340.89,,,04-08
601908,京运通,,,,,,3910.0,,,11-05
300139,晓程科技,0.22,,4.82,4.69,-0.94,907.99,,,10-22
300164,通源石油,,,,,,-1626.95,,,10-14
601012,隆基股份,,,,,,4823.24,,,10-14
300154,瑞凌股份,0.2,,2.15,9.83,0.36,1691.52,,,09-25
601992,金隅股份,,,,,,24676.04,,,09-17
300401,花园生物,0.49,,3.06,17.29,0.73,3313.33,,,08-27
300121,阳谷华泰,0.18,,2.36,7.83,0.15,800.78,,,08-27
603569,长久物流,,,,,,1426.87,,,08-12
002464,金利科技,0.14,,1.84,8.02,0.24,1422.85,,,08-10
300109,新开源,0.22,,2.52,9.08,0.34,591.26,,,08-03
002456,欧菲光,0.13,30.0,3.54,,-0.25,947.17,37.93,,08-02
300095,华伍股份,0.3,-6.25,3.94,,0.7,1697.35,-8.16,,07-27
002454,松芝股份,0.33,230.0,2.89,,0.07,5882.13,219.35,,07-19
002414,高德红外,0.08,14.29,2.1,,-0.07,1883.23,16.45,,07-15
002449,国星光电,0.2,53.85,2.8,,-0.1,3205.49,52.51,,07-15
002447,壹桥股份,-0.07,-50.0,3.56,,-0.24,-366.25,-47.42,,07-12
002444,巨星科技,0.3,15.38,3.32,9.38,0.64,5646.27,12.88,,07-12
300092,科新机电,0.1,11.11,2.17,,-0.02,692.87,7.38,,07-07
300094,国联水产,-0.06,20.0,1.88,,0.34,-1441.14,13.89,,07-07
300093,金刚玻璃,0.1,25.0,3.26,,0.14,862.08,26.41,,07-07
002440,闰土股份,0.34,54.55,5.08,,-0.1,7341.08,50.42,,07-05
002443,金洲管道,0.21,0.0,4.52,4.67,-1.89,2062.38,-1.31,,07-05
002442,龙星化工,0.13,-218.18,2.79,,-0.22,2018.28,-224.76,,07-05
002441,众业达,0.46,64.29,5.54,,-1.37,3991.27,61.07,,07-05
300091,金通灵,0.24,4.35,2.98,,-0.28,1510.75,5.52,,06-24
300090,盛运环保,0.11,30.04,3.22,,0.03,1018.94,50.64,,06-24
300089,文化长城,0.15,36.36,3.11,,0.13,1115.2,32.89,,06-24
002439,启明星辰,-0.09,-25.0,4.47,,-0.49,-679.6,-25.3,,06-22
002396,星网锐捷,0.11,-586.7,3.37,,-1.08,1491.68,-587.24,,06-22
002438,江苏神通,0.07,16.67,2.16,,-0.12,555.41,24.37,,06-22
002437,誉衡药业,0.15,36.36,2.89,,-0.08,1554.19,32.8,,06-22
002434,万里扬,0.28,7.69,3.57,,0.53,3599.54,10.2,,06-17
002433,太安堂,0.16,23.08,3.11,,-0.43,1193.43,19.74,,06-17
601288,农业银行,,,,,,2497000.0,,,06-17
002436,兴森科技,0.21,16.67,3.76,,-0.13,1767.25,14.89,,06-17
002435,长江润发,0.08,33.33,2.48,3.26,-0.15,787.14,38.27,,06-17
002429,兆驰股份,0.16,-27.27,1.8,,-0.43,6473.0,75.89,,06-09
002432,九安医疗,0.05,0.0,1.98,,0.14,479.65,5.13,,06-09
002431,棕榈股份,0.2,167.11,3.14,,-0.17,1824.29,167.05,,06-09
002430,杭氧股份,0.23,35.29,2.68,,-0.02,7707.52,34.85,,06-09
002428,云南锗业,0.16,23.08,2.86,,0.06,1458.99,20.81,,06-07
002427,尤夫股份,0.12,-20.0,2.3,,-0.16,1607.42,-22.02,,06-07
002426,胜利精密,0.1,11.11,1.78,,-0.05,3587.73,8.89,,06-07
002425,凯撒文化,0.19,5.56,3.3,,0.21,1516.78,6.39,,06-07
002424,贵州百灵,0.16,131.14,3.57,,-1.47,1779.75,142.69,,06-02
002423,*ST中特,0.07,-22.22,2.66,,0.13,2871.57,-18.63,,06-02
002422,科伦药业,0.52,44.44,9.23,,-0.6,9314.55,42.16,,06-02
002421,达实智能,0.08,-6.86,2.53,,-0.28,472.22,-6.85,,06-02
002418,康盛股份,0.15,114.29,3.16,,-1.3,1627.07,109.65,,05-31
002417,三元达,0.13,-425.0,2.58,,-0.54,1131.4,-412.32,,05-31
002420,毅昌股份,0.08,100.0,1.96,,-0.18,2668.51,80.87,,05-31
002419,天虹股份,0.4,14.29,2.98,,1.41,14055.72,14.87,,05-31
002413,雷科防务,0.15,275.0,3.36,4.72,-0.85,1704.17,241.43,,05-27
002416,爱施德,0.33,6.45,2.84,,0.2,14508.78,39.04,,05-27
002415,海康威视,0.46,53.33,3.78,,-0.71,20497.6,51.04,,05-27
300086,康芝药业,0.33,83.33,3.54,,0.63,2501.16,89.57,,05-25
300085,银之杰,0.12,83.58,2.52,,-0.17,548.64,83.58,,05-25
300088,长信科技,0.17,142.86,3.66,,0.14,1630.93,140.73,,05-25
300087,荃银高科,0.14,0.0,2.35,,-0.48,560.43,12.76,,05-25
002411,必康股份,0.14,-46.15,2.48,,-0.13,885.56,-47.61,,05-24
002410,广联达,0.21,50.0,3.49,,-0.37,1579.09,49.03,,05-24
002409,雅克科技,0.2,11.11,2.89,,0.05,1674.49,10.5,,05-24
002412,汉森制药,0.24,33.33,3.5,,0.13,1295.75,30.78,,05-24
300084,海默科技,0.03,24.34,2.53,,-0.04,134.78,24.51,,05-19
300083,劲胜精密,0.2,17.65,3.44,6.01,-0.24,1505.37,17.2,,05-19
